Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Segmen;Quarter;Total Peserta;Durasi /Jam;Govt;nonGovt
2020;"M365";"Creating and Managing a Document Academic using Office 365 ";2020-03-21 00:00:00,000;"21/03/2020";"HigherEd";"Q3 ";"75 ";;;
2020;"MAU";"Project Collaboration using Teams and Planner ";2020-02-12 00:00:00,000;"12/02/2020";"K-12";"Q3 ";"37 ";;;
2020;"MAU";"How to Create a Multimedia Learning Object with Various Tools ";2020-03-19 00:00:00,000;"19/03/2020";"HigherEd&K-12";"Q3 ";"45 ";;;
2020;"MAU";"Save Classroom Time tools for planning, assignments ";2020-01-24 00:00:00,000;"24/01/2020";"K-12";"Q3 ";"32 ";;;
2020;"MAU";"OneNote Class Notebook Sebagai Media Pendukung Pembelajaran ";2020-02-14 00:00:00,000;"14/02/2020";"K-12";"Q3 ";"83 ";;;
2020;"MAU";"Mengembangkan Kemampuan Digital Storytelling Siswa dengan Sway ";2020-03-06 00:00:00,000;"06/03/2020";"K-12";"Q3 ";"23 ";;;
2020;"TeamsCoaching";"Monitoring Progres Pelatihan Guru di Indonesia Menggunakan Microsoft Teams ";2020-01-21 00:00:00,000;"22/01/2020";"K-12";"Q3 ";"38/37 ";;;
2020;"TeamsCoaching";"Pengolahan dan pengelolaan Data menggunakan Excel dan SharePoint Online  di Microsoft Teams ";2019-01-28 00:00:00,000;"28/01/2019";"K-12";"Q3 ";"38 ";;;
2020;"TeamsCoaching";"Training of Trainer – PowerPoint sebagai Bahan Ajar Digital di Kelas Virtual Microsoft Teams ";2020-02-11 00:00:00,000;"11/02/2020";"K-12";"Q3 ";"40 ";;;
2020;"M365";"File Management with OneDrive for Business and SharePoint Online ";2020-05-08 00:00:00,000;"08/05/2020";"HigherEd";"Q4 ";"73 ";;;
2020;"M365";"Keeping Student Engaged with Office 365 ";2020-05-18 00:00:00,000;"18/05/2020";"K-12";"Q4 ";"54 ";;;
2020;"M365";"Building Collaboration Environment with Teams and Planner ";2020-05-19 00:00:00,000;"19/05/2020";"HigherEd";"Q4 ";"31 ";;;
2020;"M365";"Increasing Learning Engagement with Video Learning ";2020-04-09 00:00:00,000;"09/04/2020";"K-12";"Q4 ";"22 ";;;
2020;"M365";"Build Asynchronous Learning with OneNote Class Notebook ";2020-05-20 00:00:00,000;"20/05/2020";"K-12";"Q4 ";"134 ";;;
2020;"TeamsCoaching";"Stay Productive in One Place - Teams ";2020-04-16 00:00:00,000;"16/04/2020";"K-12";"Q4 ";"39 ";;;
2020;"TeamsCoaching";"Seminar, Pembimbingan dan Koordinasi Penelitian dengan Microsoft Teams  ";2020-04-21 00:00:00,000;"21/04/2020";"HigherEd";"Q4 ";"22 ";;;
2020;"TeamsCoaching";"Building Asynchronous and Synchronous Virtual Classroom ";2020-04-28 00:00:00,000;"28/04/2020";"K-12";"Q4 ";"79 ";;;
2020;"Minecraft";"Belajar Bahasa dengan Minecraft: Education Edition ";2020-06-19 00:00:00,000;"19/06/2020";"K-12";"Q4 ";"233 ";;;
2020;"Minecraft";"Belajar dan Praktik Sains dengan Minecraft: Education Edition ";2020-06-23 00:00:00,000;"23/06/2020";"K-12";"Q4 ";"155 ";;;
2020;"Minecraft";"Mengajarkan Budaya Daerah dengan Minecraft: Education Edition ";2020-06-25 00:00:00,000;"25/06/2020";"K-12";"Q4 ";"83 ";;;
2020;"GTP ";"Project Collaboration using Teams and Planner ";2020-04-22 00:00:00,000;"22/04/2020";"HigherEd";"Q4 ";"169 ";;;
2020;"GTP ";"7 Tips to Make Accessible Learning ";2020-04-22 00:00:00,000;"22/04/2020";"K-12";"Q4 ";"153 ";;;
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-04-23 00:00:00,000;"23/04/2020";"K-12";"Q4 ";"132 ";;;
2020;"GTP ";"Increasing Learner Engagement with Video Learning ";2020-04-23 00:00:00,000;"23/04/2020";"K-12";"Q4 ";"120 ";;;
2020;"GTP ";"Getting Organized with OneNote Online ";2020-04-27 00:00:00,000;"27/04/2020";"K-12";"Q4 ";"134 ";;;
2020;"GTP ";"Build Inclusive Learning Environment with Office 365 ";2020-04-27 00:00:00,000;"27/04/2020";"K-12";"Q4 ";"152 ";;;
2020;"GTP ";"Becoming productive in grading by adopting outcome based assessment with Microsoft Forms ";2020-05-20 00:00:00,000;"20/05/2020";"HigherEd";"Q4 ";"86 ";;;
2020;"GTP ";"Connected with Students using Remote Learning Scheme with Microsoft Teams and Office 365 ";2020-05-22 00:00:00,000;"22/05/2020";"K-12";"Q4 ";"76 ";;;
2020;"GTP ";"Creating Video Learning using PowerPoint Recorder and Game bar ";2020-05-27 00:00:00,000;"27/05/2020";"K-12";"Q4 ";"169 ";;;
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-05-29 00:00:00,000;"29/05/2020";"HigherEd";"Q4 ";"73 ";;;
2020;"GTP ";"Assessment Model in The Virtual Classroom ";2020-06-02 00:00:00,000;"02/06/2020";"HigherEd";"Q4 ";"163 ";;;
2020;"GTP ";"8 Tips For Getting The Right Blend In Blended Learning ";2020-06-02 00:00:00,000;"02/06/2020";"K-12";"Q4 ";"147 ";;;
2020;"GTP ";"Pengenalan Microsoft Educator Community dan Microsoft Teams ";2020-06-02 00:00:00,000;"02/06/2020";"K-12";"Q4 ";"168 ";;;
2020;"GTP ";"Redefining PowerPoint in the College Classroom ";2020-06-03 00:00:00,000;"03/06/2020";"HigherEd";"Q4 ";"142 ";;;
2020;"GTP ";"5 Tips for Digital Transformation of Learning ";2020-06-03 00:00:00,000;"03/06/2020";"K-12";"Q4 ";"139 ";;;
2020;"GTP ";"Survei dan Ujian Menggunakan Microsoft Forms dan Berbagi file di OneDrive ";2020-06-03 00:00:00,000;"03/06/2020";"K-12";"Q4 ";"150 ";;;
2020;"GTP ";"Creating Interactive Learning with OneNote Class Notebook ";2020-06-04 00:00:00,000;"04/06/2020";"K-12";"Q3 ";"189 ";;;
2020;"GTP ";"Becoming productive in grading by adopting outcome based assessment with Microsoft Forms   ";2020-06-04 00:00:00,000;"04/06/2020";"K-12";"Q4 ";"189 ";;;
2020;"GTP ";"Digital Storytelling with Microsoft Sway, Class notebook (OneNote) dan Berkolaborasi dengan Office Online";2020-06-04 00:00:00,000;"04/06/2020";"HigherEd";"Q4 ";"367 ";;;
2020;"GTP ";"Integrating Flipgrid in Teams for More Interactive Learning ";2020-06-05 00:00:00,000;"05/06/2020";"K-12";"Q4 ";"180 ";;;
2020;"GTP ";"Organizing Lesson Plans and Delivering Interactive Lesson with OneNote Class Notebook ";2020-06-05 00:00:00,000;"05/06/2020";"HigherEd";"Q4 ";"174 ";;;
2020;"GTP ";"Office 365 Deployment ";2020-06-05 00:00:00,000;"05/06/2020";"HigherEd&K-12";"Q4 ";"382 ";;;
2020;"GTP ";"Building Virtual Classroom for Effective Learning in The Middle of Pandemic ";2020-06-08 00:00:00,000;"08/06/2020";"K-12";"Q4 ";"58 ";;;
2020;"GTP ";"Assessment Model in The Virtual Classroom  ";2020-06-08 00:00:00,000;"08/06/2020";"K-12";"Q4 ";"18 ";;;
2020;"GTP ";"Improving Productivity with Office 365 ";2020-06-09 00:00:00,000;"09/06/2020";"HigherEd";"Q4 ";"11 ";;;
2020;"GTP ";"Redefining PowerPoint in the College Classroom ";2020-06-10 00:00:00,000;"10/06/2020";"HigherEd";"Q4 ";"26 ";;;
